,0
639,53388
640,53048
641,53395
642,53412
643,53455
644,53126
645,53492
646,53493
647,53561
648,52674
649,53582
650,53583
651,52555
652,53623
653,53624
654,53651
655,53743
656,53763
657,53798
658,53913
659,53916
660,53653
661,53655
662,53648
663,53955
664,53958
665,54046
666,54139
667,53416
668,53797
669,53805
670,54383
671,54406
672,54407
673,53907
674,53914
675,53840
676,54516
677,53967
678,53560
679,54536
680,54552
681,54611
682,54622
683,54623
684,54682
685,54734
686,54372
687,54782
688,54348
689,54858
690,54859
691,54860
692,54879
693,54982
694,54527
695,55021
696,55089
697,55090
698,55091
699,55145
700,54880
701,55230
702,55244
703,55257
704,55264
705,55299
706,53523
707,55385
708,55386
709,55405
710,55048
711,55039
712,55451
713,55211
714,55258
715,55565
716,55404
717,55606
718,55659
719,55259
720,55699
721,54799
722,54399
723,55752
724,55210
725,55859
726,55888
727,55932
728,56004
729,51693
730,56115
731,55004
732,56190
733,56191
734,56248
735,56357
736,56453
737,56455
738,56457
739,56464
740,55049
741,56465
742,56466
743,56495
744,56516
745,51331
746,56556
747,56581
748,56626
749,56665
750,56670
751,56734
752,56408
753,56823
754,56842
755,52110
756,56979
757,56393
758,55890
759,57036
760,57038
761,57047
762,57063
763,57099
764,56554
765,56624
766,57130
767,57178
768,57179
769,57216
770,57232
771,57409
772,57416
773,56932
774,57446
775,57447
776,57464
777,57127
778,57565
779,57740
780,57231
781,57291
782,57335
783,57373
784,57371
785,56278
786,56741
787,58155
788,58189
789,58190
790,56552
791,57304
792,57926
793,56553
794,58746
795,58945
796,58615
797,59570
798,59612
799,59648
800,59738
801,58912
802,59816
803,59430
804,59967
805,59180
806,59788
807,59464
808,27191
809,27198
810,27225
811,27228
812,27260
813,27114
814,27274
815,27303
816,27369
817,27400
818,27393
819,27446
820,27558
821,27447
822,27559
823,27557
824,27714
825,27600
826,27624
827,24924
828,27744
829,27743
830,27436
831,27870
832,27929
833,27935
834,27971
835,28010
836,28011
837,28012
838,28014
839,29369
840,28143
841,28120
842,28198
843,28277
844,28196
845,28271
846,28275
847,28273
848,28418
849,28347
850,28365
851,28370
852,28380
853,28386
854,28500
855,28051
856,28056
857,28507
858,28633
859,27725
860,28709
861,28710
862,28686
863,28684
864,28681
865,28685
866,28691
867,28498
868,28497
869,27166
870,26660
871,28175
872,28895
873,28898
874,28674
875,29024
876,29147
877,28179
878,29112
879,28678
880,29225
881,29223
882,25911
883,28314
884,29259
885,29261
886,29351
887,29457
888,26491
889,26495
890,26496
891,26497
892,26948
893,29049
894,28698
895,29942
896,29977
