,0
639,55961
640,57862
641,54804
642,55616
643,27277
644,27353
645,28352
646,28900
647,29185
648,29611
649,29710
650,29703
651,29847
652,30118
653,30685
654,30883
655,31207
656,31250
657,30644
658,31665
659,31656
660,31561
661,31922
662,32284
663,32389
664,32445
665,32465
666,32476
667,32732
668,32698
669,32582
670,29271
671,31485
672,30123
673,34321
674,32021
675,32048
676,31319
677,36218
678,27357
679,28607
680,28749
681,28980
682,29662
683,27963
684,27888
685,27891
686,28336
687,28255
688,31006
689,28430
690,28439
691,28035
692,28859
693,28041
694,28371
695,29653
696,28639
697,28811
698,27913
699,27926
700,30344
701,28319
702,28394
703,34420
704,35202
705,36127
706,37277
707,40167
708,45334
709,46584
710,46384
711,51281
712,51071
713,56203
714,56491
715,28378
716,28457
717,30227
718,31323
719,31106
720,31835
721,31918
722,31859
723,32353
724,33124
725,33807
726,39326
727,47297
728,48798
729,48550
730,51345
731,53641
732,58722
733,35920
734,36695
735,38669
736,41860
737,42084
738,45432
739,42335
740,44892
741,42326
742,46549
743,52296
744,52294
745,52306
746,55176
747,57981
748,27475
749,27991
750,27487
751,30681
752,28614
753,36938
754,38981
755,36135
756,36128
757,36126
758,36132
759,36139
760,36142
761,36145
762,38508
763,40917
764,41026
765,41031
766,41402
767,42238
768,43863
769,43891
770,44283
771,44943
772,45796
773,45845
774,46007
775,46025
776,46344
777,46426
778,46711
779,47165
780,47326
781,47461
782,47541
783,47934
784,48617
785,48707
786,49118
787,49456
788,49490
789,49761
790,49827
791,50073
792,50079
793,50113
794,50135
795,50143
796,50139
797,50229
798,50245
799,50277
800,50315
801,50846
802,50962
803,51503
804,51645
805,51811
806,53321
807,53322
808,53642
809,53863
810,54312
811,54636
812,54857
813,54874
814,54887
815,55619
816,55618
817,56053
818,56387
819,56434
820,56462
821,56677
822,57171
823,57559
824,58265
825,58290
826,58321
827,58311
828,58312
829,59073
830,60130
831,60136
832,55962
833,26484
834,28422
835,28413
836,28251
837,29476
838,29478
839,26058
840,30375
841,30750
842,30374
843,32557
844,32387
845,31089
846,31508
847,29914
848,31681
849,34713
850,36297
851,35625
852,35904
853,36009
854,36010
855,38258
856,37710
857,38842
858,35833
859,39002
860,38913
861,38089
862,38004
863,40165
864,40491
865,39299
866,40843
867,40689
868,42148
869,37922
870,42165
871,42153
872,43622
873,43618
874,42688
875,44346
876,45170
877,45764
878,44372
879,46133
880,46322
881,46590
882,47449
883,50295
884,50503
885,50765
886,51122
887,52633
888,53739
889,53296
890,53181
891,54306
892,54810
893,55134
894,54237
895,55931
896,55498
897,55969
898,56807
899,57344
900,57347
901,57456
902,57131
903,56781
904,58064
905,59519
906,55318
907,32854
908,32855
909,32898
910,32900
911,33002
912,33220
913,33230
914,33225
915,33353
916,29269
917,33498
918,33696
919,29515
920,33900
921,33802
922,34030
923,33799
924,33835
925,33991
926,34041
927,34048
928,34178
929,34246
930,30208
931,34330
932,34331
933,34344
934,34498
935,34680
936,34689
937,34677
938,34860
939,35040
940,34501
941,34322
942,31340
943,31347
944,31339
945,35927
946,36750
947,38494
948,29984
949,37422
950,36826
951,38515
952,40246
953,47607
954,46435
955,49523
956,50848
957,50849
958,51470
959,51468
960,52810
961,30117
962,43782
963,43735
964,44074
965,28748
966,28110
967,29021
968,30505
969,30090
970,31460
971,31677
972,30975
973,32128
974,32064
975,32130
976,27409
977,30240
978,30391
979,28226
980,29728
981,29196
982,30371
983,27848
984,32538
985,30915
986,30643
987,34105
988,30724
989,30782
990,33521
991,30356
992,32042
993,32025
994,33859
995,29738
996,33860
997,34305
998,35768
999,35819
1000,36111
1001,37339
1002,35253
1003,35640
1004,35788
1005,38530
1006,38267
1007,38133
1008,38393
1009,38736
1010,39746
1011,40130
1012,40434
1013,41302
1014,41253
1015,41767
