Level,topic,doc_ID,p,document
0,1,1,0.07407407407407407,28501
0,2,1,0.07407407407407407,28501
0,3,1,0.18518518518518517,28501
0,4,1,0.1111111111111111,28501
0,5,1,0.07407407407407407,28501
0,6,1,0.037037037037037035,28501
0,7,1,0.037037037037037035,28501
0,8,1,0.07407407407407407,28501
0,9,1,0.037037037037037035,28501
0,10,1,0.037037037037037035,28501
0,11,1,0.037037037037037035,28501
0,12,1,0.037037037037037035,28501
0,13,1,0.037037037037037035,28501
0,14,1,0.07407407407407407,28501
0,15,1,0.037037037037037035,28501
0,16,1,0.037037037037037035,28501
0,17,1,0,28501
0,18,1,0,28501
0,19,1,0,28501
0,20,1,0,28501
0,21,1,0,28501
0,22,1,0,28501
0,23,1,0,28501
0,24,1,0,28501
0,25,1,0,28501
0,26,1,0,28501
0,27,1,0,28501
0,28,1,0,28501
0,29,1,0,28501
0,30,1,0,28501
0,31,1,0,28501
0,32,1,0,28501
0,33,1,0,28501
0,34,1,0,28501
0,35,1,0,28501
0,36,1,0,28501
0,37,1,0,28501
0,38,1,0,28501
0,39,1,0,28501
0,40,1,0,28501
0,41,1,0,28501
0,42,1,0,28501
0,43,1,0,28501
0,44,1,0,28501
0,45,1,0,28501
0,46,1,0,28501
0,47,1,0,28501
0,48,1,0,28501
0,49,1,0,28501
0,50,1,0,28501
0,51,1,0,28501
0,52,1,0,28501
0,53,1,0,28501
0,54,1,0,28501
0,55,1,0,28501
0,1,2,0.02857142857142857,33700
0,2,2,0,33700
0,3,2,0.2,33700
0,4,2,0.08571428571428572,33700
0,5,2,0.02857142857142857,33700
0,6,2,0,33700
0,7,2,0,33700
0,8,2,0.11428571428571428,33700
0,9,2,0,33700
0,10,2,0.02857142857142857,33700
0,11,2,0.08571428571428572,33700
0,12,2,0.05714285714285714,33700
0,13,2,0.02857142857142857,33700
0,14,2,0,33700
0,15,2,0,33700
0,16,2,0.05714285714285714,33700
0,17,2,0.11428571428571428,33700
0,18,2,0.02857142857142857,33700
0,19,2,0.08571428571428572,33700
0,20,2,0.02857142857142857,33700
0,21,2,0.02857142857142857,33700
0,22,2,0,33700
0,23,2,0,33700
0,24,2,0,33700
0,25,2,0,33700
0,26,2,0,33700
0,27,2,0,33700
0,28,2,0,33700
0,29,2,0,33700
0,30,2,0,33700
0,31,2,0,33700
0,32,2,0,33700
0,33,2,0,33700
0,34,2,0,33700
0,35,2,0,33700
0,36,2,0,33700
0,37,2,0,33700
0,38,2,0,33700
0,39,2,0,33700
0,40,2,0,33700
0,41,2,0,33700
0,42,2,0,33700
0,43,2,0,33700
0,44,2,0,33700
0,45,2,0,33700
0,46,2,0,33700
0,47,2,0,33700
0,48,2,0,33700
0,49,2,0,33700
0,50,2,0,33700
0,51,2,0,33700
0,52,2,0,33700
0,53,2,0,33700
0,54,2,0,33700
0,55,2,0,33700
0,1,3,0,35325
0,2,3,0,35325
0,3,3,0,35325
0,4,3,0,35325
0,5,3,0,35325
0,6,3,0,35325
0,7,3,0,35325
0,8,3,0,35325
0,9,3,0,35325
0,10,3,0,35325
0,11,3,0,35325
0,12,3,0.5,35325
0,13,3,0,35325
0,14,3,0,35325
0,15,3,0,35325
0,16,3,0,35325
0,17,3,0,35325
0,18,3,0.25,35325
0,19,3,0,35325
0,20,3,0,35325
0,21,3,0,35325
0,22,3,0.25,35325
0,23,3,0,35325
0,24,3,0,35325
0,25,3,0,35325
0,26,3,0,35325
0,27,3,0,35325
0,28,3,0,35325
0,29,3,0,35325
0,30,3,0,35325
0,31,3,0,35325
0,32,3,0,35325
0,33,3,0,35325
0,34,3,0,35325
0,35,3,0,35325
0,36,3,0,35325
0,37,3,0,35325
0,38,3,0,35325
0,39,3,0,35325
0,40,3,0,35325
0,41,3,0,35325
0,42,3,0,35325
0,43,3,0,35325
0,44,3,0,35325
0,45,3,0,35325
0,46,3,0,35325
0,47,3,0,35325
0,48,3,0,35325
0,49,3,0,35325
0,50,3,0,35325
0,51,3,0,35325
0,52,3,0,35325
0,53,3,0,35325
0,54,3,0,35325
0,55,3,0,35325
0,1,4,0.07142857142857142,37618
0,2,4,0,37618
0,3,4,0.03571428571428571,37618
0,4,4,0.10714285714285714,37618
0,5,4,0.03571428571428571,37618
0,6,4,0.03571428571428571,37618
0,7,4,0.03571428571428571,37618
0,8,4,0,37618
0,9,4,0,37618
0,10,4,0,37618
0,11,4,0,37618
0,12,4,0.03571428571428571,37618
0,13,4,0.07142857142857142,37618
0,14,4,0.07142857142857142,37618
0,15,4,0,37618
0,16,4,0.10714285714285714,37618
0,17,4,0.14285714285714285,37618
0,18,4,0,37618
0,19,4,0.03571428571428571,37618
0,20,4,0,37618
0,21,4,0,37618
0,22,4,0.07142857142857142,37618
0,23,4,0.07142857142857142,37618
0,24,4,0.03571428571428571,37618
0,25,4,0.03571428571428571,37618
0,26,4,0,37618
0,27,4,0,37618
0,28,4,0,37618
0,29,4,0,37618
0,30,4,0,37618
0,31,4,0,37618
0,32,4,0,37618
0,33,4,0,37618
0,34,4,0,37618
0,35,4,0,37618
0,36,4,0,37618
0,37,4,0,37618
0,38,4,0,37618
0,39,4,0,37618
0,40,4,0,37618
0,41,4,0,37618
0,42,4,0,37618
0,43,4,0,37618
0,44,4,0,37618
0,45,4,0,37618
0,46,4,0,37618
0,47,4,0,37618
0,48,4,0,37618
0,49,4,0,37618
0,50,4,0,37618
0,51,4,0,37618
0,52,4,0,37618
0,53,4,0,37618
0,54,4,0,37618
0,55,4,0,37618
0,1,5,0.16666666666666666,46962
0,2,5,0,46962
0,3,5,0,46962
0,4,5,0.16666666666666666,46962
0,5,5,0,46962
0,6,5,0,46962
0,7,5,0,46962
0,8,5,0,46962
0,9,5,0,46962
0,10,5,0,46962
0,11,5,0,46962
0,12,5,0.16666666666666666,46962
0,13,5,0,46962
0,14,5,0,46962
0,15,5,0,46962
0,16,5,0,46962
0,17,5,0,46962
0,18,5,0,46962
0,19,5,0,46962
0,20,5,0.16666666666666666,46962
0,21,5,0,46962
0,22,5,0,46962
0,23,5,0,46962
0,24,5,0,46962
0,25,5,0,46962
0,26,5,0.16666666666666666,46962
0,27,5,0.16666666666666666,46962
0,28,5,0,46962
0,29,5,0,46962
