,0
639,52444
640,52445
641,52446
642,52447
643,52448
644,52471
645,52472
646,50474
647,52548
648,52576
649,52577
650,52609
651,52610
652,49538
653,52683
654,52684
655,52714
656,52751
657,51306
658,52358
659,52837
660,52845
661,52847
662,52897
663,52632
664,51623
665,52582
666,52961
667,52962
668,52963
669,52611
670,53000
671,53025
672,48354
673,48447
674,53082
675,53083
676,53091
677,53090
678,52903
679,53226
680,53242
681,53243
682,53250
683,52475
684,53356
685,53376
686,51975
687,53388
688,53048
689,53395
690,53412
691,53455
692,53126
693,53492
694,53493
695,53561
696,52674
697,53582
698,53583
699,52555
700,53623
701,53624
702,53651
703,53652
704,53743
705,53763
706,53798
707,53913
708,53916
709,53653
710,53655
711,53584
712,53648
713,53955
714,53956
715,53957
716,53958
717,54046
718,54139
719,53416
720,53797
721,53805
722,54383
723,54406
724,54407
725,53907
726,53914
727,53915
728,53840
729,54516
730,53967
731,53560
732,54536
733,54537
734,54551
735,54552
736,54611
737,54622
738,54623
739,54682
740,54683
741,54734
742,54372
743,54782
744,54348
745,54858
746,54859
747,54860
748,54879
749,54982
750,54983
751,54986
752,54527
753,55021
754,55089
755,55090
756,55091
757,55092
758,55139
759,55145
760,54880
761,55230
762,55244
763,55257
764,55264
765,55282
766,55299
767,53523
768,55385
769,55386
770,55405
771,55406
772,55048
773,55422
774,55039
775,55451
776,55452
777,55453
778,55211
779,55258
780,55260
781,55565
782,55566
783,55404
784,55606
785,55659
786,55660
787,55259
788,55699
789,54799
790,54399
791,55752
792,55753
793,55210
794,55859
795,55860
796,55861
797,55862
798,55888
799,55932
800,56004
801,51693
802,56115
803,55004
804,56190
805,56191
806,56248
807,56357
808,56358
809,55889
810,56453
811,56455
812,56457
813,56464
814,55049
815,56465
816,56466
817,56495
818,56516
819,51331
820,56556
821,56581
822,56600
823,56626
824,56665
825,56670
826,56734
827,56408
828,56823
829,56824
830,56842
831,52110
832,56979
833,56393
834,55890
835,57036
836,57037
837,57038
838,57047
839,57048
840,57063
841,57099
842,56554
843,56624
844,57130
845,57178
846,57179
847,57185
848,57216
849,57232
850,57233
851,57409
852,57416
853,56932
854,57446
855,57447
856,57464
857,57127
858,57565
859,57740
860,57231
861,57291
862,57292
863,57335
864,57373
865,57371
866,56278
867,56741
868,58155
869,58189
870,58190
871,56552
872,57304
873,57926
874,56553
875,58746
876,58945
877,58615
878,59570
879,59612
880,59648
881,59738
882,58912
883,59816
884,59430
885,59967
886,59180
887,59788
888,59464
889,27191
890,27198
891,27225
892,27228
893,27260
894,27114
895,27274
896,27303
897,27369
898,27400
899,27393
900,27446
901,27558
902,27447
903,27559
904,27557
905,27714
906,27600
907,27624
908,24924
909,27744
910,27743
911,27436
912,27870
913,27929
914,27935
915,27971
916,28010
917,28011
918,28012
919,28014
920,29369
921,28143
922,28120
923,28198
924,28277
925,28196
926,28271
927,28275
928,28273
929,28418
930,28347
931,28365
932,28370
933,28380
934,28386
935,28500
936,28051
937,28056
938,28507
939,28633
940,27725
941,28709
942,28710
943,28686
944,28684
945,28681
946,28685
947,28691
948,28498
949,28497
950,27166
951,26660
952,28175
953,28895
954,28898
955,28674
956,29024
957,29147
958,28179
959,29112
960,28678
961,29225
962,29223
963,25911
964,28314
965,29259
966,29261
967,29262
968,29351
969,29352
970,29457
971,26491
972,26493
973,26494
974,26495
975,26496
976,26497
977,26947
978,26948
979,29049
980,28698
981,29942
982,29977
983,29367
984,30104
985,24886
986,30255
987,24947
988,31589
989,29359
990,29365
991,24976
992,30451
993,30529
994,25086
995,30648
996,29650
997,29985
998,30692
999,30799
1000,30833
1001,30898
1002,30213
1003,30494
1004,27419
1005,27421
1006,27399
1007,27424
1008,29362
1009,31200
1010,27811
1011,27543
1012,30708
1013,30540
1014,25008
1015,25011
1016,25408
1017,25061
1018,25010
1019,25762
1020,30744
1021,31348
1022,28174
1023,27586
1024,25052
1025,27582
1026,25048
1027,25050
1028,25262
1029,31487
1030,29916
1031,25908
1032,31593
1033,30178
1034,31685
1035,30327
1036,30994
1037,31183
1038,30561
1039,31122
1040,26076
1041,25996
1042,30946
1043,26141
1044,26078
1045,25907
